,Actors,Awards,Country,Director,Genre,Language,Metascore,Plot,Ranking,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
56,"Joe Estevez, Vivian Schilling, Gregg Thomsen, Robert Z'Dar",1 win.,USA,Michael Rissi,"Fantasy, Horror",English,N/A,"Four teenagers are killed in a car accident. Two of the teenagers refuse to go with ""The Grim Reaper"" and a race between life and death ensues!",69,R,26 Oct 1990,True,94 min,Soultaker,movie,"Vivian Schilling (story), Eric Parkinson (story), Vivian Schilling (screenplay)",1990,tt0100665,2.2,"3,183"
57,"Tatsuo Umemiya, Hiroko Mine, Takashi Kanda, Ushio Skashi",N/A,Japan,Eijirô Wakabayashi,"Action, Adventure, Sci-Fi",Japanese,N/A,"When an alien force tries to invade Earth to steal a powerful new rocket fuel, a mysterious hero intervenes.",70,N/A,N/A,True,121 min,Prince of Space,movie,"Masaru Igami (story), Shin Morita",1959,tt0053464,2.1,"2,430"
58,"Dennis Rodman, Dane Cook, John Pinette, Ricky Harris",1 win.,"Germany, Belgium, USA",Kevin Alyn Elders,"Action, Comedy",English,16,Basketball superstar Dennis Rodman stars as a hip Interpol agent attempting to defeat the deadly plans of a crazed arms dealer.,71,PG-13,24 Sep 1999,True,85 min,Simon Sez,movie,"Moshe Diamant (story), Rudy Cohen (story), Andrew Miller, Andrew Lowery",1999,tt0168172,2.5,"5,893"
59,"Salman Khan, Akshay Kumar, Katrina Kaif, Anil Kapoor",4 wins & 2 nominations.,India,Farah Khan,"Action, Comedy, Crime",Hindi,N/A,"Posing as a movie producer, a conman attempts to trick an entire village into helping him rob a treasure-laden train.",72,N/A,14 Nov 2010,True,135 min,Tees Maar Khan,movie,"Vishal Dadlani (lyrics), Vishal Dadlani, Anvita Dutt Guptan (lyrics), Ashmith Kunder (screenplay), Shirish Kunder (dialogue), Shirish Kunder (screenplay), Shirish Kunder (story)",2010,tt1572311,2.5,"8,313"
60,"John Call, Leonard Hicks, Vincent Beck, Bill McCutcheon",N/A,USA,Nicholas Webster,"Adventure, Comedy, Family",English,N/A,The Martians kidnap Santa Claus because there is nobody on Mars to give their children presents.,73,NOT RATED,14 Nov 1964,True,81 min,Santa Claus Conquers the Martians,movie,"Glenville Mareth (screenplay), Paul L. Jacobson (based on a story by)",1964,tt0058548,2.5,"8,840"
61,"Hulk Hogan, Don Stark, Robin Curtis, Garrett Morris",N/A,USA,John Murlowski,Comedy,English,N/A,An evil millionaire believes he is Santa Claus after an accident renders him amnesiac.,74,PG,08 Nov 1996,True,97 min,Santa with Muscles,movie,"Jonathan Bond (screenplay), Fred Mata (screenplay), Dorrie Krum Raymond (screenplay)",1996,tt0117550,2.4,"7,844"
62,"Adam West, Jon Mikl Thor, Tia Carrere, Manuska Rigaud",N/A,Canada,Jack Bravman,"Fantasy, Horror, Sci-Fi",English,N/A,"After a young man is killed by a gang of rampant teenagers, he is resurrected by a voodoo priestess so he can avenge his death.",75,R,07 Mar 1988,True,89 min,Zombie Nightmare,movie,John Fasano,1987,tt0092297,2.2,"2,418"
63,"Charles B. Pierce, Cindy Butler, Chuck Pierce Jr., Jimmy Clem",N/A,USA,Charles B. Pierce,"Adventure, Drama, Horror",English,N/A,A professor and his students camp out to find a Bigfoot-type creature.,76,PG,01 Dec 1985,True,91 min,Boggy Creek II: And the Legend Continues,movie,Charles B. Pierce,1984,tt0088772,2.3,"2,684"
64,"David Johansen, John C. McGinley, Fran Drescher, Nipsey Russell",2 wins & 2 nominations.,USA,Bill Fishman,Comedy,English,N/A,"Brash NYC policeman Officer Gunther Toody is partnered with stiff, by-the-book Officer Francis Muldoon to protect an important mafia witness prior to testifying against orgainzed crime in ...",77,PG-13,28 Jan 1994,True,89 min,"Car 54, Where Are You?",movie,"Nat Hiken (television series), Erik Tarloff (story), Erik Tarloff (screenplay), Ebbe Roe Smith (screenplay), Peter McCarthy (screenplay), Peter Crabbe (screenplay)",1994,tt0109376,2.4,"3,880"
65,"Fiona Allen, Sophie Thompson, Jerry O'Connell, Anthony Head",N/A,UK,Ed Bye,Comedy,English,N/A,The Fat Slags from Viz hit the big time and become celebrities.,79,N/A,15 Oct 2004,True,75 min,Fat Slags,movie,William Osborne,2004,tt0382028,2.6,"3,593"
